time,o,h,l,c,volume,complete
2020-11-19 10:38:30,1.18252,1.18254,1.18241,1.18242,46,True
2020-11-19 10:39:00,1.18241,1.18253,1.18241,1.18252,34,True
2020-11-19 10:39:30,1.18252,1.18254,1.18252,1.18252,13,True
2020-11-19 10:40:00,1.18254,1.18254,1.18238,1.18238,25,True
2020-11-19 10:40:30,1.1824,1.18242,1.18232,1.18234,24,True
2020-11-19 10:41:00,1.18235,1.18243,1.18234,1.18234,41,True
2020-11-19 10:41:30,1.18232,1.18238,1.1823,1.18238,14,True
2020-11-19 10:42:00,1.1824,1.18246,1.18238,1.18244,24,True
2020-11-19 10:42:30,1.18244,1.18251,1.18244,1.18249,43,True
2020-11-19 10:43:00,1.1825,1.1825,1.18237,1.18244,21,True
2020-11-19 10:43:30,1.18242,1.18252,1.18242,1.18252,40,True
2020-11-19 10:44:00,1.18252,1.18255,1.18252,1.18252,13,True
2020-11-19 10:44:30,1.18252,1.18252,1.18242,1.18242,30,True
2020-11-19 10:45:00,1.18244,1.1825,1.18239,1.1825,32,True
2020-11-19 10:45:30,1.18252,1.18256,1.1825,1.18252,25,True
2020-11-19 10:46:00,1.18254,1.18271,1.18246,1.18269,82,True
2020-11-19 10:46:30,1.18268,1.18277,1.18258,1.18264,88,True
2020-11-19 10:47:00,1.18263,1.18277,1.18261,1.18277,54,True
2020-11-19 10:47:30,1.18276,1.18276,1.18268,1.18272,49,True
2020-11-19 10:48:00,1.18272,1.18286,1.18272,1.18273,69,True
2020-11-19 10:48:30,1.18275,1.18284,1.18274,1.1828,55,True
2020-11-19 10:49:00,1.18278,1.18279,1.18267,1.18272,46,True
2020-11-19 10:49:30,1.18272,1.18274,1.1826,1.18266,34,True
2020-11-19 10:50:00,1.18266,1.18279,1.18266,1.18279,45,True
2020-11-19 10:50:30,1.18278,1.18302,1.18278,1.18301,69,True
2020-11-19 10:51:00,1.183,1.18302,1.18286,1.18288,76,True
2020-11-19 10:51:30,1.1829,1.18298,1.18289,1.18298,41,True
2020-11-19 10:52:00,1.18297,1.18298,1.1829,1.18292,45,True
2020-11-19 10:52:30,1.1829,1.18298,1.18287,1.18298,49,True
2020-11-19 10:53:00,1.18298,1.183,1.18292,1.18295,34,True
2020-11-19 10:53:30,1.18294,1.18303,1.18292,1.18303,40,True
2020-11-19 10:54:00,1.18302,1.18306,1.18294,1.18294,41,True
